"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","Max IPs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","EBS Optimized surcharge"
"I3 High I/O Metal","i3.metal","512.0 GiB","0 units","N/A vCPUs","0","0","unknown","","","","","","EBS only","N/A","N/A","64-bit","25 Gigabit","N/A","0 MB/s","0 IOPS","N/A","Yes","Yes","Yes","Yes","HVM","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"D2 Extra Large","d2.xlarge","30.5 GiB","14 units","4 vCPUs","0","0","3.5 units","","","","","","6000 GiB               (3 * 2000 GiB HDD)","Yes","N/A","64-bit","Moderate","750.0 Mbps","93.75 MB/s","6000.0 IOPS","60","Yes","No","Yes","Yes","HVM","$0.690000 hourly","$0.402000 hourly","$0.75 hourly","$0.462 hourly","$0.79 hourly","$0.439 hourly","$0.821000 hourly","$0.472000 hourly","unavailable","unavailable","unavailable","unavailable","$2.374 hourly","$2.086 hourly","$0.00 hourly"
"D2 Double Extra Large","d2.2xlarge","61.0 GiB","28 units","8 vCPUs","0","0","3.5 units","","","","","","12000 GiB               (6 * 2000 GiB HDD)","Yes","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","Yes","No","Yes","Yes","HVM","$1.380000 hourly","$0.804000 hourly","$1.51 hourly","$0.934 hourly","$1.48 hourly","$0.841 hourly","$1.601000 hourly","$0.885000 hourly","unavailable","unavailable","unavailable","unavailable","$4.748 hourly","$4.173 hourly","$0.00 hourly"
"D2 Quadruple Extra Large","d2.4xlarge","122.0 GiB","56 units","16 vCPUs","0","0","3.5 units","","","","","","24000 GiB               (12 * 2000 GiB HDD)","Yes","N/A","64-bit","High","2000.0 Mbps","250.0 MB/s","16000.0 IOPS","240","Yes","No","Yes","Yes","HVM","$2.760000 hourly","$1.608000 hourly","$2.89 hourly","$1.738 hourly","$2.86 hourly","$1.645 hourly","$3.062000 hourly","$1.690000 hourly","unavailable","unavailable","unavailable","unavailable","$9.496 hourly","$8.346 hourly","$0.00 hourly"
"D2 Eight Extra Large","d2.8xlarge","244.0 GiB","116 units","36 vCPUs","0","0","3.222 units","","","","","","48000 GiB               (24 * 2000 GiB HDD)","Yes","N/A","64-bit","10 Gigabit","4000.0 Mbps","500.0 MB/s","32000.0 IOPS","240","Yes","No","Yes","Yes","HVM","$5.520000 hourly","$3.216000 hourly","$5.65 hourly","$3.346 hourly","$5.62 hourly","$3.253 hourly","$6.198000 hourly","$3.300000 hourly","unavailable","unavailable","unavailable","unavailable","$20.676 hourly","$18.375 hourly","$0.00 hourly"
"G2 Double Extra Large","g2.2xlarge","15.0 GiB","26 units","8 vCPUs","0","0","3.25 units","","","","","","60 GiB               SSD","No","No","64-bit","","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","No","No","No","Yes","Unknown","$0.650000 hourly","$0.474000 hourly","$0.78 hourly","$0.604 hourly","$0.75 hourly","$0.510 hourly","$0.767000 hourly","$0.611000 hourly","$0.957 hourly","$0.775 hourly","$3.816 hourly","$3.754 hourly","unavailable","unavailable","$0.05 hourly"
"G2 Eight Extra Large","g2.8xlarge","60.0 GiB","104 units","32 vCPUs","0","0","3.25 units","","","","","","240 GiB               (2 * 120 GiB SSD)","No","No","64-bit","","N/A","0 MB/s","0 IOPS","240","No","No","No","Yes","Unknown","$2.600000 hourly","$1.896000 hourly","$2.73 hourly","$2.026 hourly","$2.7 hourly","$1.933 hourly","$2.878000 hourly","$1.979000 hourly","unavailable","unavailable","unavailable","unavailable","$16.072 hourly","$15.369 hourly","unavailable"
"High Memory Cluster Eight Extra Large","cr1.8xlarge","244.0 GiB","88 units","32 vCPUs","0","0","2.75 units","","","","","","240 GiB               (2 * 120 GiB SSD)","No","No","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","No","No","No","No","Unknown","$3.500000 hourly","$1.689000 hourly","$3.63 hourly","$1.819 hourly","$3.6 hourly","$1.725 hourly","$3.831000 hourly","$2.077000 hourly","$4.044 hourly","$2.327 hourly","$7.25 hourly","$6.077 hourly","unavailable","unavailable","unavailable"
"M3 General Purpose Medium","m3.medium","3.75 GiB","3 units","1 vCPUs","0","0","3 units","Intel Xeon E5-2670 v2","2.5","Yes","","Yes","4 GiB               SSD","No","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","12","No","No","No","No","HVM, PV","$0.067000 hourly","$0.048000 hourly","$0.127 hourly","$0.108 hourly","$0.167 hourly","$0.081 hourly","$0.130000 hourly","$0.100000 hourly","$0.184 hourly","$0.127 hourly","$0.353 hourly","$0.221 hourly","unavailable","unavailable","unavailable"
"M3 General Purpose Large","m3.large","7.5 GiB","6.5 units","2 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2","2.5","Yes","","Yes","32 GiB               SSD","No","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","30","No","No","No","No","HVM, PV","$0.133000 hourly","$0.095000 hourly","$0.193 hourly","$0.155 hourly","$0.233 hourly","$0.128 hourly","$0.259000 hourly","$0.199000 hourly","$0.367 hourly","$0.239 hourly","$0.704 hourly","$0.442 hourly","unavailable","unavailable","unavailable"
